Estado,Municipio,RiscoFogo,FRP
AMAZONAS,NHAMUNDÁ,0.52,22.4
PARÁ,TOMÉ-AÇU,0.91,9.1
PARÁ,BAIÃO,0.49,14.9
PARÁ,PACAJÁ,0.58,76.2
MARANHÃO,BOM JESUS DAS SELVAS,1.0,74.1
PARÁ,PACAJÁ,0.59,50.1
MARANHÃO,CIDELÂNDIA,1.0,14.6
MARANHÃO,VITÓRIA DO MEARIM,1.0,19.4
PARÁ,PACAJÁ,0.98,8.9
PARÁ,SÃO DOMINGOS DO CAPIM,0.76,16.1
PARÁ,ULIANÓPOLIS,1.0,9.1
PARÁ,MEDICILÂNDIA,0.93,13.8
PARÁ,ALENQUER,0.61,12.8
PARÁ,MOJU,0.29,22.8
MARANHÃO,MARANHÃOZINHO,1.0,14.1
PARÁ,PACAJÁ,0.79,11.4
PARÁ,TOMÉ-AÇU,0.97,12.1
PARÁ,PORTEL,0.49,14.1
PARÁ,PRAINHA,0.98,242.5
PARÁ,PRAINHA,1.0,12.6
PARÁ,GURUPÁ,0.29,29.6
PARÁ,ANAPU,0.86,13.7
PARÁ,ACARÁ,0.54,7.6
PARÁ,PRAINHA,0.94,159.5
RORAIMA,CAROEBE,0.61,55.2
PARÁ,PORTEL,0.53,6.3
PARÁ,SÃO FÉLIX DO XINGU,1.0,11.2
PARÁ,MOJU,0.29,65.4
PARÁ,SANTARÉM,1.0,21.0
PARÁ,TOMÉ-AÇU,0.94,16.9
PARÁ,MONTE ALEGRE,0.75,13.7
MARANHÃO,SANTA LUZIA,0.83,386.9
PARÁ,ÓBIDOS,0.74,33.3
PARÁ,PACAJÁ,0.76,138.5
PARÁ,PRAINHA,0.93,11.5
MARANHÃO,ARARI,1.0,114.6
PARÁ,PACAJÁ,0.64,7.0
PARÁ,URUARÁ,1.0,32.9
AMAPÁ,MAZAGÃO,0.72,15.0
MARANHÃO,BURITICUPU,1.0,50.3
PARÁ,ANAPU,0.85,15.3
PARÁ,PACAJÁ,0.94,16.6
PARÁ,PACAJÁ,0.91,9.0
AMAZONAS,NHAMUNDÁ,0.49,45.4
AMAPÁ,MAZAGÃO,0.56,16.2
PARÁ,AVEIRO,0.51,47.6
PARÁ,PACAJÁ,0.86,12.9
PARÁ,RURÓPOLIS,0.45,15.7
PARÁ,BREU BRANCO,1.0,63.0
PARÁ,RONDON DO PARÁ,0.72,10.4
AMAZONAS,BOA VISTA DO RAMOS,0.33,28.5
PARÁ,MEDICILÂNDIA,1.0,97.9
PARÁ,OEIRAS DO PARÁ,0.56,53.2
MARANHÃO,BOM JARDIM,0.8,16.7
