DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-3.22343,-54.08961,18.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,20.0,0.16,0.91,-3.59931,-52.01345,104.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ITUPIRANGA,Amazônia,12.0,0.0,0.65,-5.24974,-50.0384,85.4
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,ALMEIRIM,Amazônia,16.0,2.02,0.55,-1.09183,-53.6461,12.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,9.0,0.0,0.46,-3.10683,-49.51022,61.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,5.0,0.0,0.28,-3.05315,-56.95568,22.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,6.0,2.35,0.96,-4.32865,-45.91376,49.5
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,8.0,0.0,1.0,-4.51442,-50.43925,9.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.66,-4.61681,-48.03373,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,NOVO REPARTIMENTO,Amazônia,14.0,0.0,0.96,-3.96379,-50.71556,5.8
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,4.0,0.0,0.74,-4.26784,-48.36265,9.7
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,18.0,0.0,1.0,-1.67186,-53.76593,25.6
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PORTEL,Amazônia,5.0,1.2,0.51,-2.12414,-51.009,8.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,7.0,0.0,0.89,-3.505,-50.28778,12.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,9.0,0.0,0.99,-3.69888,-47.12466,14.2
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,7.0,0.0,0.59,-3.31381,-50.11618,36.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,19.0,0.0,0.92,-3.78032,-51.82671,21.3
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,5.0,0.0,0.85,-4.26028,-50.84793,11.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,15.0,0.0,1.0,-3.2617,-53.64113,29.8
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,GURUPÁ,Amazônia,5.0,6.91,0.1,-0.81856,-51.60901,9.1
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,6.0,0.35,0.72,-2.76008,-48.64697,95.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BOM JESUS DO TOCANTINS,Amazônia,5.0,0.0,0.63,-4.82496,-48.69537,5.9
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,14.0,0.0,1.0,-2.64721,-53.35957,304.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,BAIÃO,Amazônia,5.0,0.0,0.28,-2.80645,-49.59991,23.7
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,RURÓPOLIS,Amazônia,4.0,0.13,0.05,-4.49562,-55.57246,36.2
2024/12/01 17:45:00,AQUA_M-T,Brasil,PARÁ,MONTE ALEGRE,Amazônia,0.0,0.0,0.62,-1.26637,-54.54746,23.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.31,0.97,-2.56385,-53.41644,482.4
2024/12/01 17:43:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,15.0,0.3,0.97,-2.55144,-53.40508,1277.8
